field,biome,country,pesticide_kg_ha,nearbyorg,pest_abu_ha
conventional,boreal,V,1.67,0.01,222.8
conventional,boreal,E,2.025,0.02,237.5
organic,tropical,R,1.392,0.31,368.5
organic,boreal,P,0.423,0.41,236.8
conventional,boreal,G,2.587,0.03,213.3
conventional,boreal,F,0.659,0.01,224.7
organic,boreal,J,0.759,0.36,265.9
organic,tropical,D,2.095,0.27,355
conventional,boreal,S,4.607,0.01,200.4
organic,tropical,F,1.761,0.29,422.2
conventional,boreal,H,3.462,0.01,237.8
conventional,temperate,R,3.974,0.01,236.4
conventional,temperate,S,0.926,0.02,249.9
conventional,temperate,M,1.004,0.03,305.9
organic,tropical,S,0.868,0.21,358.5
conventional,tropical,Y,3.333,0.01,338.9
conventional,temperate,Q,2.772,0,281.6
conventional,boreal,E,1.249,0.06,255.5
organic,temperate,M,0.415,0.53,284.4
conventional,tropical,E,4.905,0.03,316.3
conventional,temperate,Q,3.854,0.01,223.5
conventional,boreal,M,4.176,0,214.3
organic,temperate,K,0.909,0.46,285.3
organic,boreal,N,1.319,0.45,206.6
conventional,tropical,C,4.127,0.01,354.6
conventional,tropical,U,4.753,0.01,313.1
conventional,temperate,D,1.414,0.01,271.7
conventional,tropical,G,2.471,0.03,341.5
organic,tropical,X,1.111,0.49,381.5
conventional,boreal,N,0.764,0.01,250.9
organic,tropical,T,2.076,0.49,329.9
conventional,temperate,X,2.405,0.01,274.8
organic,tropical,G,1.866,0.3,376
organic,tropical,O,1.64,0.55,343.4
organic,tropical,M,1.443,0.61,349.8
conventional,tropical,B,1.033,0.01,364.8
conventional,tropical,Y,0.932,0.01,391.9
organic,temperate,F,0.727,0.49,278.2
organic,temperate,Z,0.585,0.34,282.3
conventional,temperate,J,3.208,0.04,260.2
organic,boreal,W,1.048,0.37,254.4
organic,tropical,L,1.715,0.38,363.1
conventional,boreal,V,0.557,0.02,254.4
conventional,temperate,E,0.026,0.04,328.8
organic,tropical,I,1.418,0.39,366.7
conventional,boreal,L,0.293,0.11,207.8
conventional,tropical,T,5.577,0.06,291.4
conventional,boreal,G,2.603,0,205.7
conventional,tropical,Y,3.615,0.02,343
conventional,boreal,W,2.6,0,190.1
organic,tropical,A,1.681,0.45,362
organic,tropical,U,1.762,0.35,366.3
conventional,temperate,R,1.692,0.06,238.3
organic,temperate,W,1.618,0.56,234.8
conventional,temperate,O,2.581,0.01,232.8
organic,temperate,E,0.203,0.42,290.9
organic,temperate,M,0.979,0.4,253.3
organic,tropical,M,1.747,0.42,350.9
conventional,temperate,F,1.715,0.02,273.9
conventional,tropical,D,4.877,0.06,313.8
conventional,tropical,S,4.019,0.12,301
organic,boreal,U,0.869,0.51,249.8
conventional,temperate,O,2.905,0,234.4
conventional,boreal,B,2.787,0,204.6
organic,temperate,O,1.289,0.39,294.9
organic,tropical,X,1.706,0.57,341.3
organic,temperate,D,0.921,0.43,273.4
organic,tropical,A,1.005,0.34,360.4
organic,tropical,F,1.521,0.39,373.7
conventional,tropical,A,3.42,0.03,388
organic,boreal,Z,1.045,0.39,275.1
conventional,boreal,X,0.993,0.04,235.5
conventional,temperate,Y,4.939,0.04,224.7
conventional,boreal,J,2.705,0.03,226.2
organic,temperate,F,0.997,0.46,264.7
conventional,temperate,R,2.36,0.03,209.1
organic,tropical,T,1.397,0.51,365.4
conventional,boreal,T,4.948,0.06,130.5
organic,temperate,I,0.8,0.41,308.6
organic,temperate,B,1.709,0.4,301.9
organic,temperate,E,0.952,0.44,250.3
organic,temperate,D,1.04,0.47,281.3
organic,boreal,L,0.352,0.47,238.9
organic,boreal,S,0.494,0.46,253.4
conventional,tropical,I,4.832,0.04,296.9
organic,boreal,V,2.218,0.41,184.9
conventional,boreal,Y,1.077,0.01,232.1
organic,temperate,R,0.167,0.31,265.1
organic,boreal,D,0.313,0.43,278.6
organic,boreal,D,0.394,0.39,217.8
organic,temperate,P,0.61,0.44,285.9
conventional,boreal,W,3.059,0.12,220.4
conventional,temperate,J,3.725,0.01,252.4
organic,tropical,F,1.696,0.36,338.6
organic,boreal,I,1.033,0.45,199.8
organic,tropical,K,1.906,0.67,321
conventional,boreal,D,1.892,0.03,209.9
conventional,tropical,W,2.432,0.02,348.4
conventional,tropical,Y,3.088,0.01,378.3
organic,tropical,Q,1.563,0.46,358.7
conventional,boreal,L,1.875,0,234.7
organic,temperate,G,1.101,0.37,260.2
organic,tropical,C,1.388,0.29,331.6
organic,tropical,T,1.621,0.44,362.3
organic,tropical,U,2.419,0.43,372.7
organic,boreal,Q,0.901,0.41,207.7
conventional,tropical,O,4.013,0.01,302.6
conventional,boreal,L,4.744,0.04,167.3
conventional,temperate,E,2.811,0,236.7
organic,temperate,S,1.438,0.49,272.8
organic,boreal,Z,0.293,0.34,268.1
conventional,boreal,P,2.879,0.01,159.8
conventional,temperate,Z,2.674,0,256.6
organic,boreal,X,1.333,0.42,286.4
organic,boreal,N,1.063,0.53,232.1
conventional,boreal,C,2.621,0.02,225.7
organic,tropical,Q,1.535,0.24,377.8
organic,boreal,U,1.196,0.47,250.2
organic,temperate,R,0.647,0.65,288.7
conventional,tropical,R,4.41,0.03,296.8
organic,boreal,D,0.659,0.31,238.5
conventional,temperate,L,1.879,0,281.5
organic,tropical,J,2.113,0.46,381.2
conventional,tropical,U,2.487,0.02,335.2
conventional,tropical,N,2.515,0,349.8
conventional,tropical,X,4.617,0.06,306.3
conventional,tropical,V,3.788,0.06,309.7
organic,boreal,T,1.145,0.43,237.7
organic,boreal,C,0.544,0.47,265.2
organic,temperate,O,0.687,0.37,255
conventional,temperate,O,3.147,0.15,232.2
organic,temperate,I,0.895,0.53,318.4
conventional,boreal,S,3.792,0.04,152.3
organic,boreal,U,1.225,0.36,252.9
organic,tropical,N,1.284,0.43,369.4
conventional,boreal,C,3.165,0.03,173.3
organic,tropical,B,1.587,0.47,331.6
conventional,boreal,E,1.86,0,235.6
conventional,boreal,F,2.234,0.02,226.6
conventional,tropical,A,3.119,0.06,315.5
organic,boreal,H,0.36,0.25,250.5
organic,boreal,U,0.243,0.4,261.8
organic,temperate,J,0.57,0.38,289.7
organic,tropical,U,1.358,0.35,362.6
conventional,boreal,T,3.136,0.02,225.7
organic,temperate,Q,1.532,0.45,329.2
organic,tropical,A,1.726,0.36,374
organic,temperate,L,0.668,0.37,278.8
organic,temperate,F,1.363,0.51,315.6
conventional,temperate,Y,1.517,0,279.6
conventional,temperate,Z,2.588,0,271.6
organic,temperate,M,1.07,0.45,278.6
conventional,tropical,R,3.412,0.03,326.6
organic,tropical,H,1.419,0.56,372.1
organic,temperate,A,0.701,0.4,270.3
organic,temperate,A,0.476,0.34,320.5
conventional,tropical,W,3.479,0.02,320.6
organic,temperate,Q,1.153,0.47,301.9
organic,temperate,Y,1.083,0.4,238.5
organic,tropical,D,1.773,0.54,348.9
conventional,boreal,A,2.312,0.03,188.1
organic,temperate,W,1.121,0.53,280.9
organic,boreal,L,1.458,0.39,251.2
conventional,boreal,U,1.162,0.03,245.3
organic,temperate,X,0.901,0.24,268.5
organic,boreal,R,0.844,0.47,253.9
organic,boreal,O,0.245,0.52,267.3
conventional,temperate,K,4.058,0.03,227
conventional,tropical,C,2.357,0.02,348.4
organic,boreal,P,0.447,0.48,295.9
organic,tropical,C,2.703,0.61,336.8
organic,tropical,V,1.495,0.46,329.6
conventional,tropical,C,3.966,0.03,358.4
organic,temperate,J,0.5,0.24,328.8
conventional,temperate,D,2.648,0,234.1
organic,boreal,U,1.024,0.27,251
conventional,tropical,G,4.23,0.02,316.6
organic,boreal,D,0.335,0.49,269.2
organic,tropical,X,1.762,0.52,346.4
organic,tropical,K,1.833,0.5,346
conventional,boreal,Y,1.083,0,259.7
conventional,boreal,F,0.68,0,283.6
organic,tropical,W,1.544,0.51,331.3
conventional,tropical,N,1.775,0.01,346.3
organic,temperate,E,1.058,0.4,303.4
organic,boreal,O,0.351,0.53,247.8
conventional,boreal,F,4.522,0.05,207.8
organic,boreal,A,0.42,0.47,210.9
conventional,boreal,A,1.699,0.01,214.1
conventional,temperate,E,3.087,0.04,274.3
conventional,temperate,Q,3.71,0.05,193.7
conventional,tropical,D,6.418,0.02,299.7
conventional,tropical,M,3.105,0.02,358.8
conventional,tropical,Z,3.29,0.04,324.6
conventional,boreal,H,0.961,0.07,203.8
conventional,temperate,I,3.877,0,237.3
organic,boreal,K,0.085,0.53,283.3
conventional,tropical,Y,3.629,0.03,320.3
organic,tropical,G,1.177,0.28,391.7
organic,boreal,L,0.157,0.25,259.5
organic,tropical,E,1.777,0.38,361.3
organic,tropical,M,1.62,0.4,352.1
organic,boreal,T,0.57,0.44,259.4
organic,boreal,V,0.246,0.32,253.1
conventional,temperate,G,2.5,0,262.2
conventional,temperate,G,0.838,0.01,280.1
organic,boreal,C,0.803,0.45,283.2
organic,temperate,M,1.039,0.5,274.8
organic,boreal,O,0.665,0.34,277.1
organic,tropical,H,2.325,0.15,356.6
organic,temperate,X,0.454,0.41,318.1
organic,temperate,A,0.347,0.46,290.1
conventional,temperate,L,2.453,0.01,247.9
organic,boreal,M,0.801,0.41,242.8
conventional,tropical,F,6.063,0.02,300.2
conventional,tropical,G,5.161,0.21,296.9
conventional,temperate,G,2.107,0,237.6
conventional,temperate,X,3.403,0.03,227.4
conventional,boreal,I,3.56,0.03,215.3
conventional,boreal,K,1.937,0,246.3
organic,tropical,U,1.108,0.57,364.7
conventional,temperate,A,3.062,0.01,227.1
organic,boreal,V,0.85,0.6,190.6
organic,boreal,O,0.531,0.36,260.1
organic,tropical,U,1.79,0.4,357.9
organic,temperate,Q,1.491,0.38,299.7
organic,tropical,H,1.877,0.45,374.7
organic,temperate,G,0.694,0.33,313.2
organic,temperate,G,0.75,0.37,290.6
organic,boreal,C,0.661,0.38,243.7
organic,tropical,V,1.949,0.51,335.9
conventional,boreal,S,1.701,0.01,233.2
conventional,tropical,J,1.565,0.02,390.2
organic,boreal,L,1.012,0.47,253
organic,tropical,O,2.165,0.41,343.5
organic,boreal,L,0.515,0.35,281.6
conventional,boreal,M,1.1,0.02,242.7
conventional,temperate,P,2.814,0.01,313.5
organic,tropical,U,2.151,0.42,336.8
conventional,tropical,H,4.537,0,317.2
organic,tropical,F,1.319,0.28,412.1
conventional,boreal,E,3.269,0.02,242.3
organic,boreal,M,0.682,0.38,257.3
conventional,tropical,R,2.665,0.02,367
organic,boreal,D,1.184,0.52,246
organic,tropical,U,1.613,0.51,329.4
organic,tropical,P,1.538,0.62,351.2
conventional,boreal,E,2.699,0,227.7
conventional,boreal,M,1.781,0.01,267.7
organic,tropical,I,1.723,0.31,405.4
conventional,temperate,A,1.234,0.04,268.6
conventional,boreal,P,0.147,0.01,254.4
conventional,temperate,R,2.946,0.11,244.7
conventional,tropical,E,3.278,0.03,318.7
conventional,temperate,D,1.498,0.03,255.1
conventional,boreal,N,4.287,0.01,193.9
organic,boreal,X,0.341,0.42,226.1
conventional,boreal,I,4.191,0.04,177.4
conventional,tropical,K,3.125,0.04,309.9
conventional,tropical,N,2.458,0.01,341
organic,boreal,L,0.558,0.57,268.3
conventional,boreal,K,0.155,0.01,258.1
conventional,boreal,P,0.826,0.01,231.5
conventional,boreal,Y,2.43,0.06,227.7
conventional,temperate,N,2.4,0.03,277.4
organic,tropical,Z,1.741,0.47,364.7
conventional,tropical,F,3.64,0.04,307.5
organic,boreal,B,0.96,0.45,228.5
organic,temperate,I,0.553,0.4,255.6
conventional,temperate,L,1.45,0,230.2
conventional,temperate,Z,1.909,0,295
organic,temperate,K,1.3,0.5,246.9
conventional,boreal,C,1.949,0.02,242.6
organic,tropical,T,1.522,0.38,373.6
organic,temperate,C,0.741,0.38,285.1
organic,tropical,J,1.434,0.3,352
conventional,temperate,J,1.589,0.02,289.1
conventional,tropical,G,2.809,0.01,341.8
organic,tropical,X,2.245,0.33,340
organic,temperate,C,1.102,0.47,264.1
organic,temperate,M,1.393,0.53,285.1
organic,tropical,H,1.346,0.36,376.1
conventional,tropical,U,3.583,0.04,311.2
organic,temperate,F,0.69,0.44,290.2
conventional,tropical,G,4.687,0.02,315.2
conventional,temperate,Y,0.269,0.05,297.1
conventional,boreal,H,1.422,0.02,282
conventional,temperate,F,3.361,0.02,249.1
organic,temperate,M,0.016,0.39,298.2
conventional,tropical,B,2.847,0,307
organic,temperate,Y,0.545,0.28,285.4
conventional,boreal,V,3.548,0.01,230.1
conventional,boreal,X,1.828,0.01,209.6
organic,tropical,A,1.523,0.46,347
conventional,temperate,Z,2.014,0.03,239.3
organic,boreal,K,0.011,0.48,220.5
conventional,tropical,P,3.889,0.01,281.9
conventional,boreal,L,2.748,0.1,229.3
conventional,temperate,F,1.942,0.05,300
conventional,boreal,C,2.103,0.01,222.8
organic,tropical,W,1.493,0.41,351.1
organic,tropical,Q,1.687,0.32,368
organic,temperate,U,1.32,0.44,330.2
conventional,tropical,K,4.686,0.15,344.2
conventional,boreal,P,1.17,0.03,237.1
conventional,tropical,J,3.098,0.01,352.3
conventional,boreal,O,1.201,0.02,211.9
organic,tropical,Y,1.083,0.36,354.4
organic,tropical,T,1.868,0.35,332.9
organic,temperate,H,0.52,0.34,275.4
organic,temperate,R,0.433,0.48,318.7
conventional,temperate,J,1.88,0,237
organic,temperate,H,1.206,0.47,279.3
conventional,temperate,E,2.286,0.03,245.4
organic,boreal,O,0.084,0.43,222.8
conventional,tropical,F,3.552,0.01,362.7
organic,tropical,P,2.05,0.27,332.6
conventional,temperate,O,1.207,0.01,263.5
conventional,temperate,I,1.647,0.07,282.5
conventional,tropical,A,2.138,0.08,393.4
organic,tropical,W,1.514,0.56,328.4
conventional,boreal,R,3.591,0.07,231.8
conventional,tropical,U,0.799,0.01,380.3
conventional,tropical,B,3.302,0.06,303.1
conventional,boreal,P,1.312,0.03,219.5
organic,tropical,O,1.831,0.32,344.6
conventional,boreal,C,2.153,0.05,255.2
organic,tropical,H,1.159,0.49,360
conventional,boreal,F,1.495,0.09,208.8
organic,temperate,N,1.28,0.35,297
organic,tropical,S,1.588,0.41,330.5
organic,temperate,F,1.558,0.47,278.6
organic,tropical,A,1.709,0.28,372.6
conventional,temperate,D,1.248,0.02,291.6
conventional,boreal,F,3.162,0,166.5
conventional,boreal,X,1.182,0,249.9
organic,boreal,V,0.295,0.34,263.3
organic,temperate,R,0.762,0.48,296
conventional,temperate,I,3.707,0.01,235.6
conventional,tropical,X,4.018,0.06,296.3
conventional,tropical,A,3.333,0.03,314.4
conventional,boreal,J,4.357,0.04,220.3
organic,tropical,H,1.098,0.3,365.7
organic,boreal,J,0.949,0.51,180.3
organic,boreal,X,0.549,0.48,229.9
conventional,temperate,G,2.785,0.04,249
conventional,boreal,V,2.4,0.04,222.9
conventional,temperate,J,1.53,0.02,257
organic,tropical,S,2.164,0.5,351
organic,tropical,W,1.557,0.36,361.1
conventional,tropical,D,3.37,0.01,300.6
conventional,temperate,J,2.672,0,255.4
organic,tropical,W,1.572,0.42,351.5
conventional,tropical,Q,2.65,0.01,315.1
organic,boreal,S,0.19,0.51,264
conventional,tropical,J,2.459,0.02,370.4
conventional,tropical,K,3.709,0.01,316.8
conventional,tropical,W,6.229,0.05,275.7
organic,tropical,R,2.351,0.27,370
conventional,boreal,S,2.337,0.02,226.5
conventional,boreal,N,4.048,0.07,195.1
conventional,tropical,H,3.54,0.12,329.4
organic,boreal,F,0.035,0.36,257.9
conventional,tropical,B,4.801,0.01,310.5
conventional,temperate,V,3.349,0.07,268.6
organic,temperate,P,0.758,0.54,287.4
conventional,tropical,E,3.341,0,332.9
conventional,temperate,P,4.681,0.08,228.4
conventional,temperate,A,4.047,0.01,226.7
conventional,temperate,G,2.464,0.01,229.9
conventional,tropical,G,2.152,0,354.8
organic,temperate,W,1.025,0.31,288.6
conventional,tropical,I,4.045,0.05,328.6
organic,boreal,G,1.389,0.48,224.5
conventional,temperate,E,1.333,0.07,255
organic,tropical,T,1.971,0.49,355
organic,boreal,L,0.885,0.37,227.3
conventional,boreal,O,3.981,0.02,188.8
organic,boreal,P,1.443,0.45,221.4
conventional,boreal,P,2.212,0.01,220
conventional,boreal,P,2.505,0.03,207.3
organic,temperate,A,0.491,0.48,301.8
conventional,temperate,Y,2.179,0.01,255.4
organic,boreal,K,0.754,0.39,249.9
conventional,temperate,G,3.894,0,246.5
organic,tropical,I,1.841,0.41,345.9
organic,temperate,K,0.965,0.64,310.1
conventional,tropical,T,3.063,0,289.7
conventional,tropical,T,4.038,0.02,293.3
organic,boreal,E,1.273,0.53,250
organic,temperate,F,0.314,0.46,288.3
conventional,temperate,V,3.405,0.08,233.7
organic,temperate,Q,0.977,0.44,274.3
conventional,temperate,V,3.655,0.02,286.7
organic,boreal,V,1.095,0.48,233.9
conventional,tropical,W,4.089,0,289.9
organic,tropical,Q,0.889,0.37,348.4
organic,tropical,U,1.879,0.53,341.9
conventional,tropical,M,4.338,0.08,288.2
conventional,temperate,S,3.493,0.01,268.3
conventional,temperate,V,3.152,0.01,238.2
conventional,boreal,W,1.514,0,229.7
conventional,temperate,J,3.23,0.04,253.1
organic,temperate,G,1.625,0.3,282.2
organic,boreal,I,1.313,0.4,241.3
organic,tropical,V,1.549,0.62,345.7
organic,tropical,M,1.844,0.5,351.9
conventional,temperate,M,1.24,0.02,250.2
organic,tropical,G,2.173,0.33,407.7
conventional,temperate,E,1.614,0.07,275.7
organic,temperate,N,1.093,0.67,302.7
organic,tropical,M,1.748,0.4,353.6
conventional,boreal,V,0.436,0.02,290.2
organic,boreal,T,0.615,0.44,232.1
conventional,temperate,X,2.285,0,258.3
conventional,tropical,Q,4.263,0.05,318.3
conventional,tropical,A,4.253,0.02,366.4
organic,tropical,Q,0.997,0.28,383.7
conventional,boreal,Z,1.933,0.11,220.6
conventional,boreal,I,1.656,0.04,274.7
conventional,boreal,S,3.34,0,214
conventional,boreal,X,4.931,0.02,189.6
conventional,boreal,G,0.926,0.06,216.1
conventional,boreal,W,1.47,0.1,260.3
conventional,tropical,V,4.433,0.15,312.7
organic,temperate,G,1.27,0.35,266.9
organic,boreal,Z,0.445,0.35,229.8
organic,tropical,V,1.441,0.35,298.5
organic,tropical,S,2.244,0.55,373.5
organic,tropical,M,1.965,0.44,325.3
organic,tropical,S,2.037,0.39,408.5
conventional,temperate,E,2.254,0.01,294.3
organic,temperate,Y,1.017,0.42,262.8
conventional,temperate,Y,3.013,0.02,271.8
organic,tropical,X,1.32,0.31,360.7
organic,temperate,E,1.486,0.33,283.6
organic,tropical,O,1.92,0.48,388
conventional,tropical,S,0.255,0,392.1
conventional,temperate,S,3.967,0.02,246.7
conventional,tropical,W,2.713,0,342.4
conventional,temperate,D,2.293,0.04,289
organic,boreal,P,0.442,0.44,256.2
conventional,tropical,B,2.441,0.01,317.5
conventional,tropical,D,0.975,0.05,353.4
organic,temperate,I,0.789,0.43,278
organic,temperate,I,0.078,0.38,338.9
conventional,tropical,B,2.695,0.01,318.6
organic,temperate,J,0.933,0.43,313.9
conventional,boreal,N,3.917,0.02,217.5
organic,boreal,Q,1.325,0.47,243.1
organic,tropical,E,1.276,0.47,352.4
organic,boreal,X,0.265,0.32,265.5
conventional,temperate,Q,4.176,0.02,249.8
conventional,tropical,M,3.595,0.01,327.7
conventional,tropical,P,4.515,0,325.8
conventional,temperate,U,1.382,0,273
organic,tropical,Q,2.203,0.39,377.5
conventional,boreal,T,2.457,0.01,228.2
organic,boreal,O,1.188,0.4,287.6
organic,boreal,S,0.448,0.41,269.4
conventional,temperate,M,2.83,0,222.5
organic,boreal,E,0.688,0.28,257.7
organic,tropical,D,2.53,0.56,327.7
organic,temperate,Q,0.505,0.26,302.8
conventional,boreal,C,2.521,0.01,154.9
conventional,tropical,P,3.688,0.03,312.5
conventional,tropical,F,2.246,0.07,341.6
organic,boreal,P,0.408,0.35,255.8
organic,temperate,O,0.263,0.46,252.3
organic,tropical,P,1.822,0.47,326.7
